Filename,Category,Text_Length
editablepsd.xyz_checkout.html,General/Other,1521
editablepsd.xyz_checkout_purchase-confirmation.html,General/Other,1551
editablepsd.xyz_downloads_bill-comed-usa.html,Product/Asset,2179
editablepsd.xyz_downloads_bill-ee-uk.html,Product/Asset,2137
editablepsd.xyz_downloads_bill-gas-uk.html,Product/Asset,2189
editablepsd.xyz_downloads_california-dl-photo.html,Product/Asset,2367
editablepsd.xyz_downloads_category_credit-card.html,Product/Asset,2677
editablepsd.xyz_downloads_category_drivers-license.html,Product/Asset,4527
editablepsd.xyz_downloads_category_drivers-license_page_1.html,Product/Asset,4527
editablepsd.xyz_downloads_category_drivers-license_page_2.html,Product/Asset,3633
editablepsd.xyz_downloads_category_passport.html,Product/Asset,4524
editablepsd.xyz_downloads_category_utility-bill.html,Product/Asset,2330
editablepsd.xyz_downloads_cc-capital-one.html,Product/Asset,2174
editablepsd.xyz_downloads_cc-chase.html,Product/Asset,2451
editablepsd.xyz_downloads_cc-movo.html,Product/Asset,2168
editablepsd.xyz_downloads_cc-wells-fargo.html,Product/Asset,2196
editablepsd.xyz_downloads_dl-arizona.html,Product/Asset,2181
editablepsd.xyz_downloads_dl-california.html,Product/Asset,2193
editablepsd.xyz_downloads_dl-colorado.html,Product/Asset,2484
editablepsd.xyz_downloads_dl-delaware.html,Product/Asset,2172
editablepsd.xyz_downloads_dl-espana.html,Product/Asset,2173
editablepsd.xyz_downloads_dl-georgia.html,Product/Asset,2194
editablepsd.xyz_downloads_dl-hawaii.html,Product/Asset,2168
editablepsd.xyz_downloads_dl-massachusetts.html,Product/Asset,2219
editablepsd.xyz_downloads_dl-nebraska.html,Product/Asset,2183
editablepsd.xyz_downloads_dl-new-mexico.html,Product/Asset,2191
editablepsd.xyz_downloads_dl-texas-new.html,Product/Asset,2480
editablepsd.xyz_downloads_florida-dl-photo.html,Product/Asset,2392
editablepsd.xyz_downloads_germany-id-photo.html,Product/Asset,2679
editablepsd.xyz_downloads_id-belgium-photo.html,Product/Asset,2623
editablepsd.xyz_downloads_id-belgium.html,Product/Asset,2240
editablepsd.xyz_downloads_id-lithuania.html,Product/Asset,2196
editablepsd.xyz_downloads_id-romania-photo.html,Product/Asset,2371
editablepsd.xyz_downloads_identity-card.html,Product/Asset,3454
editablepsd.xyz_downloads_identity-card_editablepsd.html,General/Other,1548
editablepsd.xyz_downloads_illinois-dl-photo.html,Product/Asset,2696
editablepsd.xyz_downloads_new-york-dl-photo.html,Product/Asset,2393
editablepsd.xyz_downloads_passport-canada.html,Product/Asset,2176
editablepsd.xyz_downloads_passport-card-usa-photo.html,Product/Asset,2387
editablepsd.xyz_downloads_passport-germany-photo.html,Product/Asset,2401
editablepsd.xyz_downloads_passport-germany.html,Product/Asset,2187
editablepsd.xyz_downloads_passport-uk-photo.html,Product/Asset,2386
editablepsd.xyz_downloads_passport-usa-photo.html,Product/Asset,2378
editablepsd.xyz_downloads_passport-usa.html,Product/Asset,2170
editablepsd.xyz_downloads_statement-suntrust.html,Product/Asset,2195
editablepsd.xyz_downloads_statement-usbank.html,Product/Asset,2186
editablepsd.xyz_downloads_statement.html,Product/Asset,2113
editablepsd.xyz_downloads_tag_bel.html,Product/Asset,2105
editablepsd.xyz_downloads_tag_can.html,General/Other,1760
editablepsd.xyz_downloads_tag_deu.html,Product/Asset,2488
editablepsd.xyz_downloads_tag_esp.html,General/Other,1735
editablepsd.xyz_downloads_tag_gbr.html,Product/Asset,2092
editablepsd.xyz_downloads_tag_il.html,Product/Asset,1796
editablepsd.xyz_downloads_tag_ltu.html,General/Other,1748
editablepsd.xyz_downloads_tag_pass.html,Product/Asset,2522
editablepsd.xyz_downloads_tag_rou.html,Product/Asset,1787
editablepsd.xyz_downloads_tag_uk.html,Product/Asset,2416
editablepsd.xyz_downloads_tag_usa.html,Product/Asset,4952
editablepsd.xyz_downloads_tag_usa_page_1.html,Product/Asset,4655
editablepsd.xyz_downloads_tag_usa_page_2.html,Product/Asset,4289
editablepsd.xyz_downloads_tag_usa_page_3.html,Product/Asset,3623
editablepsd.xyz_downloads_texas-dl-photo.html,Product/Asset,2380
editablepsd.xyz_indexedu.html,Product/Asset,2981
editablepsd.xyz_indexfake.html,Product/Asset,4331
editablepsd.xyz_my-account.html,General/Other,1134
editablepsd.xyz_my-account_lost-password.html,General/Other,1444
editablepsd.xyz_page_1.html,Product/Asset,3778
editablepsd.xyz_page_2.html,General/Other,1899
editablepsd.xyz_page_3.html,General/Other,2129
editablepsd.xyz_page_4.html,General/Other,2138
editablepsd.xyz_page_5.html,General/Other,1113
editablepsd.xyz_privacy-policy.html,Legal/Info,7771
editablepsd.xyz_registration.html,General/Other,1110
